% Model:              1D_membrane.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 3 2022, 22:35
% Dimension:          1
% Nodes:              35
% Expressions:        1
% Description:        Line graph
% x-coordinate (m)        Dependent variable u
0                         0
2.9411764705882356E-4     5.859849408134288E-5
5.882352941176471E-4      1.1719698816268576E-4
8.823529411764706E-4      1.7579548224402864E-4
0.0011764705882352942     2.3439397632537152E-4
0.0014705882352941176     2.929924704067144E-4
0.0017647058823529412     3.515909644880573E-4
0.002058823529411765      4.1018945856940016E-4
0.0023529411764705885     4.6878795265074304E-4
0.0026470588235294116     5.273864467320859E-4
0.0029411764705882353     5.859849408134288E-4
0.003235294117647059      6.445834348947717E-4
0.0035294117647058825     7.031819289761146E-4
0.0038235294117647057     7.617804230574574E-4
0.00411764705882353       8.203789171388003E-4
0.004411764705882353      8.789774112201432E-4
0.004705882352941177      9.375759053014861E-4
0.005                     9.96174399382829E-4
0.005294117647058824      9.375759053014861E-4
0.005588235294117647      8.789774112201432E-4
0.0058823529411764705     8.203789171388003E-4
0.006176470588235294      7.617804230574574E-4
0.006470588235294117      7.031819289761144E-4
0.006764705882352941      6.445834348947716E-4
0.007058823529411765      5.859849408134288E-4
0.007352941176470588      5.273864467320859E-4
0.007647058823529411      4.6878795265074304E-4
0.007941176470588236      4.1018945856940016E-4
0.00823529411764706       3.515909644880572E-4
0.008529411764705883      2.9299247040671434E-4
0.008823529411764706      2.3439397632537157E-4
0.00911764705882353       1.7579548224402867E-4
0.009411764705882352      1.1719698816268579E-4
0.009705882352941177      5.859849408134289E-5
0.01                      0
